epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3595.72,0.59641,0.75431,1,0.48017,0.000235796,0.000235796,0.000235796
2,4799.95,0.47561,0.81897,1,0.33971,0.00042689,0.00042689,0.00042689
3,6004.31,0.42973,0.85345,1,0.35928,0.000570861,0.000570861,0.000570861
4,7188.68,0.38854,0.90517,1,0.24969,0.000501942,0.000501942,0.000501942
5,8300.57,0.35032,0.90086,1,0.21795,0.000431256,0.000431256,0.000431256
6,9417.14,0.28256,0.92241,1,0.20758,0.00036057,0.00036057,0.00036057
7,10553.5,0.21789,0.89655,1,0.25429,0.000289884,0.000289884,0.000289884
8,11838.4,0.20644,0.90086,1,0.23467,0.000219198,0.000219198,0.000219198
9,12941.8,0.19087,0.90517,1,0.21669,0.000148512,0.000148512,0.000148512
10,14052.7,0.15129,0.93534,1,0.17716,7.7826e-05,7.7826e-05,7.7826e-05
